date,mmm_yy,day_type,week_no
15-03-2023,Mar_23,Wednesday,11
16-03-2023,Mar_23,Thursday,11
17-03-2023,Mar_23,Friday,11
18-03-2023,Mar_23,Saturday,11
19-03-2023,Mar_23,Sunday,11
20-03-2023,Mar_23,Monday,12
21-03-2023,Mar_23,Tuesday,12
22-03-2023,Mar_23,Wednesday,12
23-03-2023,Mar_23,Thursday,12
24-03-2023,Mar_23,Friday,12
25-03-2023,Mar_23,Saturday,12
26-03-2023,Mar_23,Sunday,12
27-03-2023,Mar_23,Monday,13
28-03-2023,Mar_23,Tuesday,13
29-03-2023,Mar_23,Wednesday,13
30-03-2023,Mar_23,Thursday,13
31-03-2023,Mar_23,Friday,13
01-04-2023,Apr_23,Saturday,13
02-04-2023,Apr_23,Sunday,13
03-04-2023,Apr_23,Monday,14
04-04-2023,Apr_23,Tuesday,14
05-04-2023,Apr_23,Wednesday,14
06-04-2023,Apr_23,Thursday,14
07-04-2023,Apr_23,Friday,14
08-04-2023,Apr_23,Saturday,14
09-04-2023,Apr_23,Sunday,14
10-04-2023,Apr_23,Monday,15
11-04-2023,Apr_23,Tuesday,15
12-04-2023,Apr_23,Wednesday,15
13-04-2023,Apr_23,Thursday,15
14-04-2023,Apr_23,Friday,15
15-04-2023,Apr_23,Saturday,15
16-04-2023,Apr_23,Sunday,15
17-04-2023,Apr_23,Monday,16
18-04-2023,Apr_23,Tuesday,16
19-04-2023,Apr_23,Wednesday,16
20-04-2023,Apr_23,Thursday,16
21-04-2023,Apr_23,Friday,16
22-04-2023,Apr_23,Saturday,16
23-04-2023,Apr_23,Sunday,16
24-04-2023,Apr_23,Monday,17
25-04-2023,Apr_23,Tuesday,17
26-04-2023,Apr_23,Wednesday,17
27-04-2023,Apr_23,Thursday,17
28-04-2023,Apr_23,Friday,17
29-04-2023,Apr_23,Saturday,17
30-04-2023,Apr_23,Sunday,17
